id	title	imdbID	year	rtID	rtAllCriticsRating	rtAllCriticsNumReviews	rtAllCriticsNumFresh	rtAllCriticsNumRotten	rtAllCriticsScore	rtTopCriticsRating	rtTopCriticsNumReviews	rtTopCriticsNumFresh	rtTopCriticsNumRotten	rtTopCriticsScore	rtAudienceRating	rtAudienceNumRatings	rtAudienceScore	movie	distributor	genre	gross	theaters	days	distributor_Sony	distributor_Warner_Bros	distributor_Universal	distributor_Walt_Disney	distributor_20th_Century_Fox	distributor_Paramount	distributor_Miramax	distributor_MGM	distributor_Sony_Classics	distributor_New_Line	distributor_Lionsgate	distributor_IFC_Films	distributor_Strand	distributor_Magnolia	distributor_Fox_Searchlight	distributor_Orion	distributor_First_Run_Features	distributor_ThinkFilm	distributor_Regent_Releasing	distributor_Focus_Features	genre_Drama	genre_Comedy	genre_Documentary	genre_Action	genre_ThrillerSuspense	genre_Adventure	genre_Horror	genre_Romantic_Comedy	genre_Musical	genre_Black_Comedy	genre_Western	genre_ConcertPerformance	genre_Multiple_Genres	freq_ge0_l1	freq_ge1_l2	freq_ge2_l3	freq_ge3_l4	freq_ge4_l5	avg_rating	NrOfTopActors	NrOfTopDirectors	box_office
1196	star wars episode v empire strikes back	80684	1980	empire_strikes_back	8.6	71	69	2	97	7.5	17	15	2	88	4.1	146071	94	star wars episode v empire strikes back	20th Century Fox	Adventure	76610	189		0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	10	25	80	56	3.23	2	0	290158751
1974	friday 13th	80761	1980	friday_the_13th_part_1	5.6	45	27	18	60	0	4	2	2	50	3.2	25534	66	friday 13th	Warner Bros.	Horror	17863	52	66	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	27	45	111	257	203	3.12	0	0	64997188
2950	blue lagoon	80453	1980	blue_lagoon	2.7	17	2	15	11	0	4	1	3	25	2.8	7063	55	blue lagoon	Universal	Drama	275039	116	423	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	3	3.18	0	0	0
4291	nine to five	80319	1980	9_to_5	6.9	25	22	3	88	0	1	1	0	100	3.2	3894	70	nine to five	20th Century Fox	Comedy	0	0	150	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	4	3.27	1	0	100409707
4936	fame	80716	1980	fame	6.9	28	22	6	78	0	4	2	2	50	3.2	6724	67	fame	MGM	Musical	10597	62	73	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	15	52	106	48	2.97	0	0	22452209
5045	galaxina	80771	1980	galaxina	3.6	5	1	4	20	0	0	0	0	0	0	0	0	galaxina	Crown		0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.5	0	0	4865000
8736	out of blue	81291	1980	out-of-the-blue-no-looking-back	6.2	5	4	1	80	0	1	1	0	100	3.9	294	80	out of blue	IFC Films	Drama	728	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	6	3.58	0	0	728
8858	apple	80380	1980	1001131-apple	4.6	6	1	5	16	0	0	0	0	0	0	0	0	apple		Drama	491	1	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	13	11	2.86	0	0	116758
8962	fade to black	80711	1980	1006975-fade_to_black	4.9	11	5	6	45	0	1	1	0	100	3.3	379	54	fade to black	Paramount Vantage	Documentary	271	1	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	20	65	205	179	3.35	0	0	728802
610	heavy metal	82509	1981	1068461-heavy_metal	5.7	25	15	10	60	5.4	5	3	2	60	3.3	6386	69	heavy metal	Sony Pictures	Adventure	394659	269	59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	4	10	7	3.22	0	0	19571091
