#Movie-id	freq_ge0_l1	freq_ge1_l2	freq_ge2_l3	freq_ge3_l4	freq_ge4_l5	avg_rating
1	10	18	92	430	713	3.74
2	5	64	182	372	142	2.98
3	8	17	74	111	42	2.87
4	2	7	12	18	6	2.58
5	6	28	57	101	33	2.75
6	2	9	36	169	370	3.85
7	4	14	50	133	81	3.18
8	0	6	12	15	6	2.72
9	1	11	30	17	2	2.37
10	6	24	113	347	243	3.31
11	2	10	54	153	154	3.42
12	3	19	36	26	12	2.49
13	1	3	13	9	7	2.74
14	2	2	6	39	33	3.41
15	4	14	31	50	14	2.69
16	2	7	39	145	331	3.82
17	2	3	16	113	224	3.88
18	1	13	34	73	83	3.38
19	55	121	196	247	104	2.56
20	2	18	45	53	11	2.6
21	5	23	64	202	207	3.39
22	1	9	56	112	67	3.16
23	0	9	32	62	35	3.08
24	4	19	40	88	58	3.04
25	7	16	40	130	252	3.66
26	0	0	5	27	36	3.64
27	1	1	5	27	12	3.32
28	0	1	2	17	46	4.02
29	2	9	20	83	223	3.88
30	0	0	2	7	11	3.75
31	3	14	56	130	41	2.99
32	3	6	46	285	818	4.01
33	0	0	0	3	1	3.25
34	26	45	116	289	294	3.29
35	0	1	8	13	11	3.18
36	2	4	22	145	254	3.81
37	0	0	1	1	2	3.38
38	4	2	4	6	1	2.18
39	16	20	125	278	209	3.24
40	0	0	4	7	6	3.44
41	0	1	1	19	52	3.98
42	1	4	21	29	12	2.92
43	0	4	6	15	22	3.27
44	19	57	103	96	39	2.45
45	0	11	24	76	90	3.46
46	1	4	18	24	14	2.93
47	8	22	32	241	903	4.06
48	16	44	127	147	49	2.66
49	0	1	0	7	6	3.57
50	1	5	31	155	1026	4.29
52	0	7	14	82	77	3.5
53	0	0	1	3	3	3.43
54	0	5	5	7	2	2.47
55	0	4	4	4	2	2.39
56	0	1	1	0	0	1.75
57	0	2	11	19	10	3.01
58	2	0	20	70	135	3.78
59	0	0	2	4	7	3.46
60	2	12	36	52	21	2.84
61	0	2	5	13	7	3.11
62	3	11	37	168	162	3.51
63	4	4	15	22	21	3.05
64	1	3	9	5	0	2.17
65	20	30	44	28	5	1.99
66	12	14	14	12	2	1.85
67	0	0	1	0	0	2.5
68	0	0	2	11	9	3.43
69	2	4	20	45	65	3.46
70	11	33	76	199	172	3.23
71	6	6	9	6	1	1.88
72	0	0	8	17	12	3.46
73	1	1	3	11	39	3.91
74	0	5	10	20	10	2.96
75	1	6	3	0	1	1.64
76	2	4	18	27	11	2.97
77	0	0	0	2	0	3
78	0	0	4	12	8	3.33
79	0	8	25	28	9	2.76
80	0	0	1	4	7	3.83
81	0	3	14	31	29	3.31
82	0	1	2	21	41	3.9
83	0	0	2	5	5	3.54
84	0	0	1	0	1	3.25
85	0	2	7	24	25	3.43
86	0	3	10	45	17	3.22
87	5	6	18	2	2	1.86
88	2	9	28	48	29	3.08
89	0	2	21	46	26	3.25
90	0	0	0	1	2	4
92	0	4	12	24	9	2.97
93	2	11	21	15	4	2.4
94	0	1	7	42	43	3.6
95	14	56	145	240	62	2.75
96	0	1	1	0	5	3.79
97	0	1	6	28	65	3.96
98	0	0	1	2	0	3
99	0	1	3	2	2	2.62
100	0	2	16	25	17	3.16
101	0	1	16	59	93	3.78
102	4	10	6	8	2	1.98
103	0	1	5	2	3	2.95
104	9	31	80	243	190	3.3
105	4	10	36	87	71	3.24
106	0	0	0	1	3	4
107	3	13	23	50	46	3.19
110	6	30	83	367	751	3.85
111	1	9	30	156	544	4.04
112	2	11	40	99	87	3.3
113	0	1	8	8	6	2.96
114	0	0	1	5	11	3.62
115	0	0	0	0	5	4
116	1	2	0	6	9	3.44
117	0	1	5	16	18	3.4
118	0	2	6	6	4	2.78
119	0	1	1	2	0	2.5
120	0	0	2	1	0	2.5
121	0	0	2	5	10	3.59
122	1	10	24	33	8	2.68
123	1	0	6	28	77	4.02
124	0	0	0	2	1	3.67
125	0	4	12	28	52	3.58
126	6	9	12	8	1	1.85
128	0	0	0	2	2	3.75
129	0	0	2	4	1	2.93
130	1	1	0	0	2	2.62
131	1	0	1	2	1	2.6
132	0	11	14	16	3	2.45
134	0	0	0	0	1	4.5
135	3	14	36	30	17	2.7
136	0	0	0	0	2	4.5
